id,name,abbreviation,conference,logo_url
2005,Air Force,AF,Mountain West,https://cdn.collegefootballdata.com/logos/500/2005.png
2006,Akron,AKR,Mid-American,https://cdn.collegefootballdata.com/logos/500/2006.png
333,Alabama,ALA,SEC,https://cdn.collegefootballdata.com/logos/500/333.png
2026,App State,APP,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2026.png
12,Arizona,ARIZ,Big 12,https://cdn.collegefootballdata.com/logos/500/12.png
9,Arizona State,ASU,Big 12,https://cdn.collegefootballdata.com/logos/500/9.png
8,Arkansas,ARK,SEC,https://cdn.collegefootballdata.com/logos/500/8.png
2032,Arkansas State,ARST,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2032.png
349,Army,ARMY,American Athletic,https://cdn.collegefootballdata.com/logos/500/349.png
2,Auburn,AUB,SEC,https://cdn.collegefootballdata.com/logos/500/2.png
2050,Ball State,BALL,Mid-American,https://cdn.collegefootballdata.com/logos/500/2050.png
239,Baylor,BAY,Big 12,https://cdn.collegefootballdata.com/logos/500/239.png
68,Boise State,BOIS,Pac-12,https://cdn.collegefootballdata.com/logos/500/68.png
103,Boston College,BC,ACC,https://cdn.collegefootballdata.com/logos/500/103.png
189,Bowling Green,BGSU,Mid-American,https://cdn.collegefootballdata.com/logos/500/189.png
2084,Buffalo,BUF,Mid-American,https://cdn.collegefootballdata.com/logos/500/2084.png
252,BYU,BYU,Big 12,https://cdn.collegefootballdata.com/logos/500/252.png
25,California,CAL,ACC,https://cdn.collegefootballdata.com/logos/500/25.png
2117,Central Michigan,CMU,Mid-American,https://cdn.collegefootballdata.com/logos/500/2117.png
2429,Charlotte,CLT,American Athletic,https://cdn.collegefootballdata.com/logos/500/2429.png
2132,Cincinnati,CIN,Big 12,https://cdn.collegefootballdata.com/logos/500/2132.png
228,Clemson,CLEM,ACC,https://cdn.collegefootballdata.com/logos/500/228.png
324,Coastal Carolina,CCU,Sun Belt,https://cdn.collegefootballdata.com/logos/500/324.png
38,Colorado,COLO,Big 12,https://cdn.collegefootballdata.com/logos/500/38.png
36,Colorado State,CSU,Pac-12,https://cdn.collegefootballdata.com/logos/500/36.png
48,Delaware,DEL,Conference USA,https://cdn.collegefootballdata.com/logos/500/48.png
150,Duke,DUKE,ACC,https://cdn.collegefootballdata.com/logos/500/150.png
151,East Carolina,ECU,American Athletic,https://cdn.collegefootballdata.com/logos/500/151.png
2199,Eastern Michigan,EMU,Mid-American,https://cdn.collegefootballdata.com/logos/500/2199.png
57,Florida,FLA,SEC,https://cdn.collegefootballdata.com/logos/500/57.png
2226,Florida Atlantic,FAU,American Athletic,https://cdn.collegefootballdata.com/logos/500/2226.png
2229,Florida International,FIU,Conference USA,https://cdn.collegefootballdata.com/logos/500/2229.png
52,Florida State,FSU,ACC,https://cdn.collegefootballdata.com/logos/500/52.png
278,Fresno State,FRES,Pac-12,https://cdn.collegefootballdata.com/logos/500/278.png
61,Georgia,UGA,SEC,https://cdn.collegefootballdata.com/logos/500/61.png
290,Georgia Southern,GASO,Sun Belt,https://cdn.collegefootballdata.com/logos/500/290.png
2247,Georgia State,GAST,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2247.png
59,Georgia Tech,GT,ACC,https://cdn.collegefootballdata.com/logos/500/59.png
62,Hawai'i,HAW,Mountain West,https://cdn.collegefootballdata.com/logos/500/62.png
248,Houston,HOU,Big 12,https://cdn.collegefootballdata.com/logos/500/248.png
356,Illinois,ILL,Big Ten,https://cdn.collegefootballdata.com/logos/500/356.png
84,Indiana,IU,Big Ten,https://cdn.collegefootballdata.com/logos/500/84.png
2294,Iowa,IOWA,Big Ten,https://cdn.collegefootballdata.com/logos/500/2294.png
66,Iowa State,ISU,Big 12,https://cdn.collegefootballdata.com/logos/500/66.png
55,Jacksonville State,JXST,Conference USA,https://cdn.collegefootballdata.com/logos/500/55.png
256,James Madison,JMU,Sun Belt,https://cdn.collegefootballdata.com/logos/500/256.png
2305,Kansas,KU,Big 12,https://cdn.collegefootballdata.com/logos/500/2305.png
2306,Kansas State,KSU,Big 12,https://cdn.collegefootballdata.com/logos/500/2306.png
338,Kennesaw State,KENN,Conference USA,https://cdn.collegefootballdata.com/logos/500/338.png
2309,Kent State,KENT,Mid-American,https://cdn.collegefootballdata.com/logos/500/2309.png
96,Kentucky,UK,SEC,https://cdn.collegefootballdata.com/logos/500/96.png
2335,Liberty,LIB,Conference USA,https://cdn.collegefootballdata.com/logos/500/2335.png
309,Louisiana,UL,Sun Belt,https://cdn.collegefootballdata.com/logos/500/309.png
2348,Louisiana Tech,LT,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2348.png
97,Louisville,LOU,ACC,https://cdn.collegefootballdata.com/logos/500/97.png
99,LSU,LSU,SEC,https://cdn.collegefootballdata.com/logos/500/99.png
276,Marshall,MRSH,Sun Belt,https://cdn.collegefootballdata.com/logos/500/276.png
120,Maryland,MD,Big Ten,https://cdn.collegefootballdata.com/logos/500/120.png
113,Massachusetts,MASS,Mid-American,https://cdn.collegefootballdata.com/logos/500/113.png
235,Memphis,MEM,American Athletic,https://cdn.collegefootballdata.com/logos/500/235.png
2390,Miami,MIA,ACC,https://cdn.collegefootballdata.com/logos/500/2390.png
193,Miami (OH),M-OH,Mid-American,https://cdn.collegefootballdata.com/logos/500/193.png
130,Michigan,MICH,Big Ten,https://cdn.collegefootballdata.com/logos/500/130.png
127,Michigan State,MSU,Big Ten,https://cdn.collegefootballdata.com/logos/500/127.png
2393,Middle Tennessee,MTSU,Conference USA,https://cdn.collegefootballdata.com/logos/500/2393.png
135,Minnesota,MINN,Big Ten,https://cdn.collegefootballdata.com/logos/500/135.png
344,Mississippi State,MSST,SEC,https://cdn.collegefootballdata.com/logos/500/344.png
142,Missouri,MIZ,SEC,https://cdn.collegefootballdata.com/logos/500/142.png
2623,Missouri State,MOST,Conference USA,https://cdn.collegefootballdata.com/logos/500/2623.png
2426,Navy,NAVY,American Athletic,https://cdn.collegefootballdata.com/logos/500/2426.png
152,NC State,NCSU,ACC,https://cdn.collegefootballdata.com/logos/500/152.png
158,Nebraska,NEB,Big Ten,https://cdn.collegefootballdata.com/logos/500/158.png
2440,Nevada,NEV,Mountain West,https://cdn.collegefootballdata.com/logos/500/2440.png
167,New Mexico,UNM,Mountain West,https://cdn.collegefootballdata.com/logos/500/167.png
166,New Mexico State,NMSU,Conference USA,https://cdn.collegefootballdata.com/logos/500/166.png
153,North Carolina,UNC,ACC,https://cdn.collegefootballdata.com/logos/500/153.png
2449,North Dakota State,NDSU,Mountain West,https://cdn.collegefootballdata.com/logos/500/2449.png
2459,Northern Illinois,NIU,Mountain West,https://cdn.collegefootballdata.com/logos/500/2459.png
249,North Texas,UNT,American Athletic,https://cdn.collegefootballdata.com/logos/500/249.png
77,Northwestern,NU,Big Ten,https://cdn.collegefootballdata.com/logos/500/77.png
87,Notre Dame,ND,FBS Independents,https://cdn.collegefootballdata.com/logos/500/87.png
195,Ohio,OHIO,Mid-American,https://cdn.collegefootballdata.com/logos/500/195.png
194,Ohio State,OSU,Big Ten,https://cdn.collegefootballdata.com/logos/500/194.png
201,Oklahoma,OU,SEC,https://cdn.collegefootballdata.com/logos/500/201.png
197,Oklahoma State,OKST,Big 12,https://cdn.collegefootballdata.com/logos/500/197.png
295,Old Dominion,ODU,Sun Belt,https://cdn.collegefootballdata.com/logos/500/295.png
145,Ole Miss,MISS,SEC,https://cdn.collegefootballdata.com/logos/500/145.png
2483,Oregon,ORE,Big Ten,https://cdn.collegefootballdata.com/logos/500/2483.png
204,Oregon State,ORST,Pac-12,https://cdn.collegefootballdata.com/logos/500/204.png
213,Penn State,PSU,Big Ten,https://cdn.collegefootballdata.com/logos/500/213.png
221,Pittsburgh,PITT,ACC,https://cdn.collegefootballdata.com/logos/500/221.png
2509,Purdue,PUR,Big Ten,https://cdn.collegefootballdata.com/logos/500/2509.png
242,Rice,RICE,American Athletic,https://cdn.collegefootballdata.com/logos/500/242.png
164,Rutgers,RUTG,Big Ten,https://cdn.collegefootballdata.com/logos/500/164.png
16,Sacramento State,SAC,Mid-American,https://cdn.collegefootballdata.com/logos/500/16.png
2534,Sam Houston,SHSU,Conference USA,https://cdn.collegefootballdata.com/logos/500/2534.png
21,San Diego State,SDSU,Pac-12,https://cdn.collegefootballdata.com/logos/500/21.png
23,San José State,SJSU,Mountain West,https://cdn.collegefootballdata.com/logos/500/23.png
2567,SMU,SMU,ACC,https://cdn.collegefootballdata.com/logos/500/2567.png
6,South Alabama,USA,Sun Belt,https://cdn.collegefootballdata.com/logos/500/6.png
2579,South Carolina,SC,SEC,https://cdn.collegefootballdata.com/logos/500/2579.png
2572,Southern Miss,USM,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2572.png
58,South Florida,USF,American Athletic,https://cdn.collegefootballdata.com/logos/500/58.png
24,Stanford,STAN,ACC,https://cdn.collegefootballdata.com/logos/500/24.png
183,Syracuse,SYR,ACC,https://cdn.collegefootballdata.com/logos/500/183.png
2628,TCU,TCU,Big 12,https://cdn.collegefootballdata.com/logos/500/2628.png
218,Temple,TEM,American Athletic,https://cdn.collegefootballdata.com/logos/500/218.png
2633,Tennessee,TENN,SEC,https://cdn.collegefootballdata.com/logos/500/2633.png
251,Texas,TEX,SEC,https://cdn.collegefootballdata.com/logos/500/251.png
245,Texas A&M,TA&M,SEC,https://cdn.collegefootballdata.com/logos/500/245.png
326,Texas State,TXST,Pac-12,https://cdn.collegefootballdata.com/logos/500/326.png
2641,Texas Tech,TTU,Big 12,https://cdn.collegefootballdata.com/logos/500/2641.png
2649,Toledo,TOL,Mid-American,https://cdn.collegefootballdata.com/logos/500/2649.png
2653,Troy,TROY,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2653.png
2655,Tulane,TULN,American Athletic,https://cdn.collegefootballdata.com/logos/500/2655.png
202,Tulsa,TLSA,American Athletic,https://cdn.collegefootballdata.com/logos/500/202.png
5,UAB,UAB,American Athletic,https://cdn.collegefootballdata.com/logos/500/5.png
2116,UCF,UCF,Big 12,https://cdn.collegefootballdata.com/logos/500/2116.png
26,UCLA,UCLA,Big Ten,https://cdn.collegefootballdata.com/logos/500/26.png
41,UConn,CONN,FBS Independents,https://cdn.collegefootballdata.com/logos/500/41.png
2433,UL Monroe,ULM,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2433.png
2439,UNLV,UNLV,Mountain West,https://cdn.collegefootballdata.com/logos/500/2439.png
30,USC,USC,Big Ten,https://cdn.collegefootballdata.com/logos/500/30.png
254,Utah,UTAH,Big 12,https://cdn.collegefootballdata.com/logos/500/254.png
328,Utah State,USU,Pac-12,https://cdn.collegefootballdata.com/logos/500/328.png
2638,UTEP,UTEP,Mountain West,https://cdn.collegefootballdata.com/logos/500/2638.png
2636,UTSA,UTSA,American Athletic,https://cdn.collegefootballdata.com/logos/500/2636.png
238,Vanderbilt,VAN,SEC,https://cdn.collegefootballdata.com/logos/500/238.png
258,Virginia,UVA,ACC,https://cdn.collegefootballdata.com/logos/500/258.png
259,Virginia Tech,VT,ACC,https://cdn.collegefootballdata.com/logos/500/259.png
154,Wake Forest,WAKE,ACC,https://cdn.collegefootballdata.com/logos/500/154.png
264,Washington,WASH,Big Ten,https://cdn.collegefootballdata.com/logos/500/264.png
265,Washington State,WSU,Pac-12,https://cdn.collegefootballdata.com/logos/500/265.png
98,Western Kentucky,WKU,Conference USA,https://cdn.collegefootballdata.com/logos/500/98.png
2711,Western Michigan,WMU,Mid-American,https://cdn.collegefootballdata.com/logos/500/2711.png
277,West Virginia,WVU,Big 12,https://cdn.collegefootballdata.com/logos/500/277.png
275,Wisconsin,WIS,Big Ten,https://cdn.collegefootballdata.com/logos/500/275.png
2751,Wyoming,WYO,Mountain West,https://cdn.collegefootballdata.com/logos/500/2751.png
2000,Abilene Christian,ACU,UAC,https://cdn.collegefootballdata.com/logos/500/2000.png
2010,Alabama A&M,AAMU,SWAC,https://cdn.collegefootballdata.com/logos/500/2010.png
2011,Alabama State,ALST,SWAC,https://cdn.collegefootballdata.com/logos/500/2011.png
2016,Alcorn State,ALCN,SWAC,https://cdn.collegefootballdata.com/logos/500/2016.png
