series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
1,1,3/26/2026,3/28/2026,137,147,3
2,1,3/26/2026,3/29/2026,121,134,3
3,1,3/26/2026,3/29/2026,158,145,3
4,1,3/26/2026,3/29/2026,112,120,3
5,1,3/26/2026,3/29/2026,110,142,3
6,1,3/26/2026,3/29/2026,113,111,3
7,1,3/26/2026,8/21/2026,117,108,4
8,1,3/26/2026,3/29/2026,135,116,3
9,1,3/26/2026,3/29/2026,138,139,3
10,1,3/26/2026,3/29/2026,143,140,3
11,1,3/27/2026,7/12/2026,119,109,3
12,1,3/27/2026,3/29/2026,136,114,4
13,1,3/27/2026,3/29/2026,141,133,3
14,1,3/27/2026,3/29/2026,146,115,3
15,1,3/27/2026,3/29/2026,144,118,3
16,1,3/30/2026,8/6/2026,118,142,3
17,1,3/30/2026,4/1/2026,110,140,3
18,1,3/30/2026,8/2/2026,113,134,4
19,1,3/30/2026,8/6/2026,143,120,4
20,1,3/30/2026,4/1/2026,146,145,3
21,1,3/30/2026,4/1/2026,141,115,3
22,1,3/30/2026,4/1/2026,144,133,3
23,1,3/30/2026,4/1/2026,112,108,3
24,1,3/30/2026,4/1/2026,158,139,3
25,1,3/30/2026,4/1/2026,138,121,3
26,1,3/31/2026,4/1/2026,117,111,3
27,1,3/31/2026,8/2/2026,135,137,4
28,1,3/31/2026,4/1/2026,136,147,3
29,1,3/31/2026,4/1/2026,109,116,3
30,1,3/31/2026,4/2/2026,119,114,3
31,2,4/2/2026,4/5/2026,145,141,3
32,2,4/3/2026,4/5/2026,109,144,4
33,2,4/3/2026,4/5/2026,137,121,4
34,2,4/3/2026,4/5/2026,120,119,3
35,2,4/3/2026,4/5/2026,116,138,3
36,2,4/3/2026,4/5/2026,147,146,3
37,2,4/3/2026,4/5/2026,111,135,3
38,2,4/3/2026,4/5/2026,140,113,3
39,2,4/3/2026,4/5/2026,114,112,3
40,2,4/3/2026,4/5/2026,142,139,3
41,2,4/3/2026,4/5/2026,115,143,3
42,2,4/3/2026,4/5/2026,134,110,3
43,2,4/3/2026,4/5/2026,118,158,3
44,2,4/4/2026,9/17/2026,108,136,3
45,2,4/4/2026,9/27/2026,133,117,4
46,2,4/6/2026,4/8/2026,139,112,3
47,2,4/6/2026,8/30/2026,114,118,3
48,2,4/6/2026,4/8/2026,134,135,3
49,2,4/6/2026,4/9/2026,146,113,4
50,2,4/6/2026,4/8/2026,120,138,3
51,2,4/6/2026,4/8/2026,111,158,3
52,2,4/6/2026,4/8/2026,141,119,3
53,2,4/6/2026,9/2/2026,142,116,4
54,2,4/6/2026,4/8/2026,145,110,3
55,2,4/7/2026,7/27/2026,140,136,4
56,2,4/7/2026,4/8/2026,115,117,3
57,2,4/7/2026,4/8/2026,108,144,3
58,2,4/7/2026,4/8/2026,137,143,3
59,2,4/7/2026,4/9/2026,121,109,3
60,2,4/7/2026,4/9/2026,147,133,3
61,3,4/9/2026,9/24/2026,118,145,4
62,3,4/10/2026,7/29/2026,135,115,4
63,3,4/10/2026,9/13/2026,112,134,3
64,3,4/10/2026,4/12/2026,143,109,3
65,3,4/10/2026,4/12/2026,116,146,3
66,3,4/10/2026,4/12/2026,113,108,3
67,3,4/10/2026,4/12/2026,141,142,3
68,3,4/10/2026,4/12/2026,121,133,3
69,3,4/10/2026,7/9/2026,139,147,4
70,3,4/10/2026,4/12/2026,110,137,3
71,3,4/10/2026,4/12/2026,144,114,3
72,3,4/10/2026,4/12/2026,158,120,3
73,3,4/11/2026,4/12/2026,138,111,3
74,3,4/11/2026,9/24/2026,136,117,4
75,3,4/11/2026,4/12/2026,119,140,3
76,3,4/13/2026,4/15/2026,110,109,3
77,3,4/13/2026,4/16/2026,134,120,4
78,3,4/13/2026,4/15/2026,143,112,3
79,3,4/13/2026,4/16/2026,147,108,4
80,3,4/13/2026,8/6/2026,144,146,3
81,3,4/13/2026,4/15/2026,142,111,3
82,3,4/13/2026,4/15/2026,138,114,3
83,3,4/14/2026,8/16/2026,133,140,4
84,3,4/14/2026,4/16/2026,119,121,3
85,3,4/14/2026,7/26/2026,116,118,4
86,3,4/14/2026,4/16/2026,113,137,3
87,3,4/14/2026,4/16/2026,145,139,3
88,3,4/14/2026,4/16/2026,158,141,3
89,3,4/15/2026,4/17/2026,117,115,3
90,3,4/15/2026,4/17/2026,135,136,3
91,4,4/16/2026,4/19/2026,114,110,4
92,4,4/17/2026,4/19/2026,112,121,3
93,4,4/17/2026,9/7/2026,143,144,4
