id,name,abbreviation,conference,logo_url
7,"Amherst Mammoths",AMH,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/7.png
9,"Arizona State Sun Devils",ASU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
12,"Arizona Wildcats",ARIZ,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
8,"Arkansas Razorbacks",ARK,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
2,"Auburn Tigers",AUB,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
68,"Boise State Broncos",BOIS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
18,"Bridgewater State Bears",BRIS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/18.png
63,"Buena Vista Beavers",BVU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/63.png
13,"Cal Poly Mustangs",CP,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
25,"California Golden Bears",CAL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
32,"Carroll (WI) Pioneers",CRU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/32.png
17,"Claremont Mudd Scripps Stags",CMS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/17.png
33,"Colby White Mules",CLBY,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/33.png
38,"Colorado Buffaloes",COLO,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
11,"Colorado Mesa Mavericks",COMU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/11.png
36,"Colorado State Rams",CSU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
40,"Curry Colonels",CC,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/40.png
48,"Delaware Blue Hens",DEL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
49,"Dubuque Spartans",DBQ,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/49.png
72,"Elmhurst Bluejays",ELMH,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/72.png
50,"Florida A&M Rattlers",FAMU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png
57,"Florida Gators",FLA,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
52,"Florida State Seminoles",FSU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
46,"Georgetown Hoyas",GTWN,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
61,"Georgia Bulldogs",UGA,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png
59,"Georgia Tech Yellow Jackets",GT,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png
65,"Grinnell Pioneers",GRNL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/65.png
62,"Hawai'i Rainbow Warriors",HAW,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png
47,"Howard Bison",HOW,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
70,"Idaho Vandals",IDHO,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
66,"Iowa State Cyclones",ISU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
55,"Jacksonville State Gamecocks",JXST,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
67,"Luther Norse",LUTH,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/67.png
74,"Millikin Big Blue",MILK,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/74.png
60,"Morehouse Maroon Tigers",MRHO,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/60.png
75,"North Park Vikings",NPU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/75.png
77,"Northwestern Wildcats",NU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png
29,"Redlands Bulldogs",REDL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/29.png
16,"Sacramento State Hornets",SAC,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
21,"San Diego State Aztecs",SDSU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png
23,"San José State Spartans",SJSU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png
6,"South Alabama Jaguars",USA,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png
58,"South Florida Bulls",USF,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png
24,"Stanford Cardinal",STAN,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png
56,"Stetson Hatters",STET,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png
5,"UAB Blazers",UAB,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png
26,"UCLA Bruins",UCLA,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png
41,"UConn Huskies",CONN,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
30,"USC Trojans",USC,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
43,"Yale Bulldogs",YALE,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/43.png
7,"Amherst Mammoths",AMH,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/7.png
9,"Arizona State Sun Devils",ASU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
12,"Arizona Wildcats",ARIZ,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
8,"Arkansas Razorbacks",ARK,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
2,"Auburn Tigers",AUB,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
68,"Boise State Broncos",BOIS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
18,"Bridgewater State Bears",BRIS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/18.png
63,"Buena Vista Beavers",BVU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/63.png
13,"Cal Poly Mustangs",CP,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png
25,"California Golden Bears",CAL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
32,"Carroll (WI) Pioneers",CRU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/32.png
17,"Claremont Mudd Scripps Stags",CMS,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/17.png
33,"Colby White Mules",CLBY,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/33.png
38,"Colorado Buffaloes",COLO,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
11,"Colorado Mesa Mavericks",COMU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/11.png
36,"Colorado State Rams",CSU,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
40,"Curry Colonels",CC,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/40.png
48,"Delaware Blue Hens",DEL,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
49,"Dubuque Spartans",DBQ,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/49.png
72,"Elmhurst Bluejays",ELMH,NCAA - Football,https://a.espncdn.com/i/teamlogos/ncaa/500/72.png
